text,is_depressed
I'm grateful that Learning something new every day sometimes taking time for self-care feels amazing #gratitude,0
Can't stop thinking about how Thankful for all the good in my life #depression,0
I'm so happy about I just want the pain to stop ğŸ˜Š,1
Can't stop thinking about how Had a great day today âœ¨,0
I'm exhausted all the time,1
I love when I'm so tired but I can't sleep #life,1
It's funny how Feeling at peace with myself ğŸ’”,0
Sometimes I wonder if It's all my fault so i feel numb inside!,1
Not sure why I feel numb inside...,1
Just realized I just want the pain to stop i can't remember the last time i was happy ğŸ˜”,1
Just thinking that Just finished an amazing workout #depression,0
I can't remember the last time I was happy i can't stop crying #depression,1
I'm a burden to everyone these days everything is overwhelming â¤ï¸,1
It's sad that I don't see the point in trying #life,1
Making progress every day ğŸ˜,0
I'm so happy about I just want the pain to stop #depression,1
Today I realized Got a promotion at work ğŸ˜,0
Always remember that Everyone would be better off without me ğŸ˜,1
I'm so happy about I don't see the point in trying ğŸ˜¢,1
Just thinking that Why am I never good enough? ğŸ˜­,1
Never forget that I'm a burden to everyone ğŸ˜¢,1
Never forget that Everything is going well these days just finished an amazing workout,0
Never forget that I can't focus on anything â¤ï¸,1
Just thinking that I'm so tired but I can't sleep,1
Sometimes I wonder if I can't remember the last time I was happy ğŸ˜¢,1
I wish Found a new hobby that I love yet feeling at peace with myself #life,0
I hate when Feeling energized and positive,0
I wish Surrounded by good people yet thankful for all the good in my life ğŸ˜­,0
I'm so happy about Enjoying the little things in life â¤ï¸,0
I wish I don't see the point in trying i can't remember the last time i was happy...,1
I'm so happy about Today was productive and fulfilling #gratitude,0
Does anyone else feel like I'm so tired but I can't sleep right now no one understands how i feel #life,1
Always remember that I just want the pain to stop...,1
Today was productive and fulfilling ğŸ˜Š,0
"I hate when It's all my fault honestly, i feel so alone even in a crowd",1
Never forget that Got a promotion at work.,0
Enjoying the little things in life ğŸ˜,0
I can't focus on anything these days i just want the pain to stop #depression,1
Had a great day today though all the hard work is paying off,0
Always remember that Beautiful sunshine today #blessed,0
Never forget that I can't stop crying so another sleepless night ğŸ˜,1
Can't stop thinking about how Just had the best time with family right now learning something new every day #happy,0
Enjoying the little things in life #anxiety,0
I'm grateful that Excited about new opportunities ğŸ˜”,0
Is it normal to feel like Learning something new every day ğŸ˜,0
I'm so happy about So grateful for my friends and making progress every day.,0
Sometimes I wonder if I'm sorry for being such a disappointment,1
Sometimes I wonder if Celebrated with friends ğŸ˜Š,0
I hate when I'm feeling happy because today was productive and fulfilling #blessed,0
Why is it that Everything is overwhelming I feel like i'm exhausted all the time ğŸ˜”,1
Not sure why I can't remember the last time I was happy â¤ï¸,1
Just realized I don't see the point in trying ğŸ˜,1
I can't believe Got a promotion at work,0
Can't stop thinking about how I can't remember the last time I was happy ğŸ’”,1
Is it normal to feel like Went for a walk and it lifted my spirits,0
Always remember that Surrounded by good people.,0
It's funny how I can't see a future for myself.,1
Can't stop thinking about how I hate myself so much #depression,1
I hate when I feel numb inside...,1
It's funny how Another sleepless night #blessed,1
I'm so happy about Another sleepless night I feel like i can't remember the last time i was happy #anxiety,1
I love when I'm tired of pretending to be okay ğŸ˜”,1
It's funny how The future looks bright #happy,0
I hate when Celebrated with friends #blessed,0
Making progress every day because my heart is full of joy #blessed,0
I'm grateful that Went for a walk and it lifted my spirits though beautiful sunshine today ğŸ˜,0
Just realized Had a great day today though found a new hobby that i love #blessed,0
Is it normal to feel like Will this sadness ever end? though everyone would be better off without me.,1
I can't believe Everything feels so empty #gratitude,1
Never forget that Surrounded by good people ğŸ˜­,0
Not sure why I've lost interest in things I used to enjoy ğŸ˜,1
I'm so tired of Making progress every day ğŸ’”,0
It's sad that Just had the best time with family ğŸ˜,0
I can't focus on anything ğŸ˜,1
Does anyone else feel like All the hard work is paying off #anxiety,0
Never forget that I feel so alone even in a crowd ğŸ˜,1
I'm so tired but I can't sleep #happy,1
Today I realized Feeling energized and positive ğŸ˜Š,0
It's funny how Went for a walk and it lifted my spirits ğŸ˜Š,0
Sometimes I wonder if Today was productive and fulfilling...,0
Never forget that I feel so worthless ğŸ˜,1
Just thinking that Nothing brings me joy anymore these days i'm sorry for being such a disappointment ğŸ˜¢,1
I can't believe So grateful for my friends #gratitude,0
Just realized Everything feels so empty âœ¨,1
Never forget that Found a new hobby that I love #anxiety,0
Just realized I'm so tired but I can't sleep ğŸ˜­,1
Just thinking that Everything feels so empty â¤ï¸,1
I love when Another sleepless night #blessed,1
I'm so tired of Nothing matters anymore ğŸ˜,1
Can't stop thinking about how Everyone would be better off without me,1
Why is it that Making positive changes #mentalhealth,0
I'm grateful that Everything is overwhelming ğŸ’”,1
Just realized I'm so tired but I can't sleep...,1
Why is it that Nothing matters anymore ğŸ˜,1
Just realized The future looks bright ğŸ˜­,0
I'm so happy about Enjoying the little things in life #anxiety,0
It's sad that I can't focus on anything...,1
I'm grateful that The future looks bright though making progress every day ğŸ’”,0
Always remember that I feel numb inside i'm a failure at everything #happy,1
I'm grateful that Learning something new every day ğŸ˜­,0
Learning something new every day just had the best time with family #happy,0
Never forget that I'm feeling happy ğŸ’”,0
It's sad that Beautiful sunshine today right now all the hard work is paying off ğŸ˜,0
I hate when I can't remember the last time I was happy i can't see a future for myself,1
"Why am I never good enough? honestly, i can't stop crying âœ¨",1
Never forget that I'm a burden to everyone â¤ï¸,1
I love when Learning something new every day ğŸ˜,0
I'm grateful that All the hard work is paying off,0
"Always remember that Found a new hobby that I love honestly, just had the best time with family âœ¨",0
It's sad that No one understands how I feel!,1
I love when Beautiful sunshine today,0
I'm so happy about Making progress every day,0
I wish Got a promotion at work,0
It's sad that Felt so loved and appreciated because went for a walk and it lifted my spirits ğŸ’”,0
It's funny how Everything feels so empty âœ¨,1
Does anyone else feel like Got a promotion at work often just finished an amazing workout ğŸ˜”,0
It's sad that Feeling energized and positive ğŸ˜Š,0
Is it normal to feel like Beautiful sunshine today âœ¨,0
Today I realized Thankful for all the good in my life #life,0
Always remember that I feel so alone even in a crowd ğŸ˜­,1
I wish I'm exhausted all the time right now i feel numb inside #happy,1
It's sad that Nothing matters anymore ğŸ˜,1
It's funny how I can't remember the last time I was happy ğŸ’”,1
Always remember that Learning something new every day feeling motivated and inspired!,0
It's sad that Feeling energized and positive I think i'm feeling happy ğŸ˜,0
Always remember that Feeling energized and positive right now went for a walk and it lifted my spirits #happy,0
I wish Went for a walk and it lifted my spirits ğŸ˜­,0
Not sure why Counting my blessings #anxiety,0
I can't believe I'm so tired but I can't sleep though i feel numb inside #gratitude,1
It's sad that Got a promotion at work #blessed,0
I love when Today was productive and fulfilling âœ¨,0
The future looks bright and taking time for self-care feels amazing ğŸ’”,0
It's sad that It's all my fault and another sleepless night â¤ï¸,1
Just thinking that Learning something new every day ğŸ˜­,0
I'm sorry for being such a disappointment #life,1
Surrounded by good people ğŸ˜,0
I wish I feel so alone even in a crowd ğŸ˜”,1
I'm so happy about No one understands how I feel ğŸ’”,1
Does anyone else feel like Proud of what I've accomplished ğŸ˜­,0
Why is it that Feeling motivated and inspired,0
Not sure why Everything feels so empty ğŸ˜Š,1
I wish I'm a failure at everything âœ¨,1
I'm so happy about I'm feeling happy,0
I love when I feel so alone even in a crowd â¤ï¸,1
Feeling motivated and inspired #gratitude,0
Does anyone else feel like Everything feels so empty #happy,1
Enjoying the little things in life #happy,0
Always remember that I feel so alone even in a crowd â¤ï¸,1
Why is it that Making positive changes!,0
It's sad that I can't remember the last time I was happy though i've lost interest in things i used to enjoy #depression,1
Is it normal to feel like Beautiful sunshine today,0
I'm grateful that Everything is overwhelming so the thoughts won't stop,1
I can't believe All the hard work is paying off #anxiety,0
I'm a burden to everyone ğŸ’”,1
Never forget that I feel numb inside ğŸ˜­,1
Is it normal to feel like Excited about new opportunities,0
Just realized Beautiful sunshine today #depression,0
Sometimes I wonder if Nothing brings me joy anymore ğŸ˜,1
Today I realized I'm feeling happy ğŸ˜Š,0
It's funny how It's all my fault ğŸ˜,1
I'm so tired of The thoughts won't stop...,1
I hate when I'm sorry for being such a disappointment â¤ï¸,1
Just thinking that I'm trapped in my own mind ğŸ˜Š,1
Can't stop thinking about how Beautiful sunshine today!,0
Can't stop thinking about how Had a great day today.,0
I can't believe Celebrated with friends but so grateful for my friends,0
I wish It's all my fault.,1
Not sure why Had a great day today #life,0
Always remember that Making progress every day ğŸ˜Š,0
Not sure why I'm a burden to everyone often i'm so tired but i can't sleep,1
My heart is full of joy because found a new hobby that i love.,0
It's sad that Learning something new every day!,0
I hate when Feeling at peace with myself and taking time for self-care feels amazing #anxiety,0
I love when I feel so alone even in a crowd so another sleepless night ğŸ˜,1
Never forget that I can't see a future for myself so everything is overwhelming #happy,1
Just thinking that Taking time for self-care feels amazing #mentalhealth,0
Always remember that Taking time for self-care feels amazing #gratitude,0
I'm grateful that Taking time for self-care feels amazing #blessed,0
Just thinking that I'm sorry for being such a disappointment,1
I hate when Today was productive and fulfilling counting my blessings #gratitude,0
Just thinking that I feel so worthless #gratitude,1
The future looks bright ğŸ’”,0
I'm so happy about Nothing brings me joy anymore #depression,1
It's sad that Had a great day today found a new hobby that i love #anxiety,0
Does anyone else feel like I'm so tired but I can't sleep #happy,1
Never forget that So grateful for my friends #anxiety,0
Is it normal to feel like Making progress every day #anxiety,0
Sometimes I wonder if Beautiful sunshine today #depression,0
Always remember that The thoughts won't stop #life,1
It's sad that It's all my fault #life,1
I wish Just had the best time with family.,0
Always remember that I'm feeling happy and making progress every day,0
I'm tired of pretending to be okay ğŸ˜¢,1
I can't believe I'm so tired but I can't sleep #mentalhealth,1
Feeling energized and positive #life,0
I can't believe I feel numb inside because i can't see a future for myself ğŸ˜¢,1
I'm so happy about Thankful for all the good in my life I feel like the future looks bright #gratitude,0
Can't stop thinking about how I'm a failure at everything!,1
Just thinking that The thoughts won't stop #gratitude,1
I'm grateful that Beautiful sunshine today.,0
Can't stop thinking about how Felt so loved and appreciated,0
Just thinking that Excited about new opportunities ğŸ’”,0
I love when All the hard work is paying off ğŸ˜,0
Got a promotion at work,0
Just thinking that Just had the best time with family.,0
It's sad that Feeling confident and strong ğŸ˜¢,0
Always remember that The thoughts won't stop,1
Just thinking that I can't remember the last time I was happy ğŸ˜Š,1
Today I realized No one understands how I feel #blessed,1
I'm so tired of I can't focus on anything...,1
It's funny how The thoughts won't stop,1
I wish Feeling confident and strong #life,0
I'm so happy about I'm so tired but I can't sleep...,1
It's sad that Feeling energized and positive,0
Can't stop thinking about how The future looks bright...,0
I can't believe The thoughts won't stop it's all my fault #life,1
Today I realized My heart is full of joy...,0
I hate when Enjoying the little things in life ğŸ˜”,0
It's sad that Feeling at peace with myself âœ¨,0
It's funny how I'm sorry for being such a disappointment #anxiety,1
I'm so tired but I can't sleep...,1
I wish Everything feels so empty...,1
I'm grateful that I hate myself so much ğŸ˜,1
Just realized I'm exhausted all the time i hate myself so much ğŸ˜”,1
I hate when Just finished an amazing workout ğŸ˜,0
I'm grateful that I feel so alone even in a crowd and i'm tired of pretending to be okay #anxiety,1
It's sad that I've lost interest in things I used to enjoy #depression,1
Can't stop thinking about how Beautiful sunshine today ğŸ˜­,0
I hate myself so much #depression,1
Can't stop thinking about how Just finished an amazing workout,0
Surrounded by good people ğŸ’”,0
"Surrounded by good people honestly, everything is going well ğŸ˜¢",0
I hate when Why am I never good enough? ğŸ˜”,1
Can't stop thinking about how Why am I never good enough? right now everything feels so empty #depression,1
Does anyone else feel like Will this sadness ever end? i'm sorry for being such a disappointment ğŸ˜Š,1
Does anyone else feel like I've lost interest in things I used to enjoy and i'm a burden to everyone ğŸ˜,1
Can't stop thinking about how It's all my fault ğŸ˜Š,1
I love when I've lost interest in things I used to enjoy #life,1
It's sad that The thoughts won't stop #gratitude,1
My heart is full of joy #happy,0
I'm so happy about Had a great day today and learning something new every day,0
Just thinking that I can't see a future for myself ğŸ˜,1
Celebrated with friends,0
Not sure why I'm sorry for being such a disappointment ğŸ’”,1
Can't stop thinking about how Everything is overwhelming...,1
Feeling energized and positive.,0
I wish Thankful for all the good in my life right now went for a walk and it lifted my spirits ğŸ’”,0
I can't believe I hate myself so much ğŸ˜,1
I'm trapped in my own mind #depression,1
Never forget that Excited about new opportunities #mentalhealth,0
Never forget that Feeling at peace with myself #depression,0
It's funny how It's all my fault so no one understands how i feel ğŸ˜Š,1
I can't believe I've lost interest in things I used to enjoy #life,1
I can't believe It's all my fault ğŸ˜,1
It's sad that Had a great day today #depression,0
I'm so happy about Everything feels so empty #life,1
Is it normal to feel like I can't see a future for myself ğŸ˜,1
I hate when I don't deserve good things so no one understands how i feel ğŸ˜Š,1
Just thinking that Surrounded by good people #life,0
Is it normal to feel like Just finished an amazing workout...,0
Learning something new every day,0
Never forget that So grateful for my friends #happy,0
Does anyone else feel like I'm tired of pretending to be okay,1
Does anyone else feel like Another sleepless night #gratitude,1
Just realized My heart is full of joy.,0
Just thinking that Taking time for self-care feels amazing #anxiety,0
I hate when Everything is overwhelming and it's all my fault,1
I'm so happy about Taking time for self-care feels amazing because went for a walk and it lifted my spirits â¤ï¸,0
Today I realized Proud of what I've accomplished #anxiety,0
Never forget that I've lost interest in things I used to enjoy ğŸ˜”,1
Why is it that My heart is full of joy.,0
I love when Why am I never good enough? right now i'm sorry for being such a disappointment ğŸ˜”,1
Today I realized I've lost interest in things I used to enjoy though i'm a burden to everyone â¤ï¸,1
I hate when My heart is full of joy #mentalhealth,0
I've lost interest in things I used to enjoy #happy,1
I'm so tired of Had a great day today ğŸ˜,0
I hate when I hate myself so much often i feel so alone even in a crowd ğŸ˜­,1
Everything is going well yet making positive changes ğŸ˜Š,0
I'm so happy about Everyone would be better off without me â¤ï¸,1
Celebrated with friends,0
I love when I can't stop crying sometimes the thoughts won't stop,1
Just thinking that Excited about new opportunities âœ¨,0
Always remember that I'm exhausted all the time â¤ï¸,1
Why is it that Excited about new opportunities ğŸ˜”,0
I can't believe Taking time for self-care feels amazing!,0
"Today I realized Nothing matters anymore lately, will this sadness ever end? ğŸ’”",1
Why is it that Just finished an amazing workout right now enjoying the little things in life ğŸ˜Š,0
Today I realized I feel so worthless #depression,1
I hate when Everyone would be better off without me ğŸ˜¢,1
Why is it that Proud of what I've accomplished often my heart is full of joy ğŸ˜,0
"Everything is going well lately, just finished an amazing workout.",0
I love when I feel numb inside,1
Can't stop thinking about how I'm so tired but I can't sleep ğŸ˜­,1
Does anyone else feel like I'm a burden to everyone âœ¨,1
I can't believe I feel so alone even in a crowd.,1
I'm so happy about All the hard work is paying off ğŸ˜Š,0
Surrounded by good people #anxiety,0
I'm so happy about I feel so worthless â¤ï¸,1
I'm grateful that Got a promotion at work ğŸ˜”,0
Does anyone else feel like My heart is full of joy #blessed,0
Just thinking that Everything is overwhelming âœ¨,1
I wish Excited about new opportunities #life,0
Not sure why Found a new hobby that I love #happy,0
I'm so tired of I'm a burden to everyone!,1
Today I realized It's all my fault ğŸ˜¢,1
It's funny how Making positive changes ğŸ˜Š,0
Everyone would be better off without me.,1
Is it normal to feel like I feel so worthless.,1
Just realized My heart is full of joy.,0
Just thinking that Nothing brings me joy anymore #gratitude,1
I love when Feeling confident and strong these days i'm feeling happy,0
Nothing brings me joy anymore #gratitude,1
Just realized I'm sorry for being such a disappointment ğŸ˜,1
Why is it that Beautiful sunshine today.,0
Is it normal to feel like Celebrated with friends,0
I wish Feeling confident and strong â¤ï¸,0
My heart is full of joy #anxiety,0
Not sure why Everything is going well #mentalhealth,0
I can't focus on anything...,1
I hate when So grateful for my friends,0
Just had the best time with family...,0
Why is it that Everything feels so empty ğŸ˜¢,1
Always remember that I feel so alone even in a crowd âœ¨,1
It's sad that I'm exhausted all the time #depression,1
It's funny how Today was productive and fulfilling so all the hard work is paying off ğŸ˜,0
Just thinking that Feeling at peace with myself ğŸ˜­,0
Feeling energized and positive these days all the hard work is paying off,0
Just thinking that I can't remember the last time I was happy #mentalhealth,1
Always remember that I'm sorry for being such a disappointment ğŸ˜,1
Always remember that Beautiful sunshine today ğŸ˜Š,0
I hate when I'm feeling happy ğŸ’”,0
Does anyone else feel like I'm a failure at everything #depression,1
I love when Today was productive and fulfilling #happy,0
I wish Another sleepless night #depression,1
I hate when No one understands how I feel #life,1
Can't stop thinking about how Everyone would be better off without me #depression,1
Today I realized I'm so tired but I can't sleep ğŸ˜”,1
It's sad that Everything feels so empty but i don't see the point in trying #life,1
Not sure why I'm feeling happy ğŸ˜”,0
I'm so tired of Taking time for self-care feels amazing but all the hard work is paying off...,0
I'm grateful that Feeling confident and strong #life,0
Why is it that I'm trapped in my own mind ğŸ˜¢,1
I can't believe I can't see a future for myself!,1
Why is it that I can't focus on anything #depression,1
Sometimes I wonder if I'm sorry for being such a disappointment #mentalhealth,1
I'm so happy about Counting my blessings #depression,0
Is it normal to feel like I can't remember the last time I was happy ğŸ˜Š,1
Is it normal to feel like Thankful for all the good in my life,0
I'm so happy about Nothing brings me joy anymore often everything is overwhelming.,1
Why is it that I'm sorry for being such a disappointment #blessed,1
Does anyone else feel like Nothing matters anymore!,1
I wish I don't deserve good things,1
"Never forget that I don't deserve good things lately, nothing matters anymore ğŸ˜",1
Today I realized The thoughts won't stop,1
Always remember that Everything feels so empty i don't deserve good things ğŸ˜”,1
Not sure why I'm exhausted all the time âœ¨,1
Just realized Everyone would be better off without me because i can't remember the last time i was happy...,1
I love when Feeling at peace with myself #life,0
Learning something new every day ğŸ˜¢,0
Why is it that Felt so loved and appreciated,0
The thoughts won't stop so why am i never good enough? #mentalhealth,1
Why is it that I don't deserve good things ğŸ˜Š,1
"I wish Just had the best time with family lately, excited about new opportunities...",0
Making progress every day,0
I hate when Thankful for all the good in my life ğŸ˜,0
Can't stop thinking about how I can't focus on anything,1
I'm grateful that All the hard work is paying off #happy,0
I'm so happy about Had a great day today #life,0
I can't believe Nothing matters anymore so why am i never good enough? ğŸ˜Š,1
It's funny how I can't stop crying,1
Can't stop thinking about how I'm feeling happy,0
I'm so tired but I can't sleep,1
I'm so tired but I can't sleep ğŸ˜”,1
Today I realized I'm so tired but I can't sleep,1
I'm so tired of No one understands how I feel I feel like i'm so tired but i can't sleep #happy,1
I wish I'm a burden to everyone ğŸ˜­,1
Can't stop thinking about how Proud of what I've accomplished âœ¨,0
Never forget that The thoughts won't stop #blessed,1
Not sure why I feel so worthless #mentalhealth,1
Surrounded by good people...,0
Is it normal to feel like I can't see a future for myself yet i feel so worthless âœ¨,1
Today I realized I just want the pain to stop #blessed,1
Does anyone else feel like I don't see the point in trying #gratitude,1
I don't see the point in trying I think why am i never good enough?...,1
I'm so happy about Feeling motivated and inspired âœ¨,0
Just realized I'm exhausted all the time #depression,1
Why is it that I'm sorry for being such a disappointment,1
I'm so happy about I feel so alone even in a crowd ğŸ˜¢,1
I'm so happy about I'm sorry for being such a disappointment though i just want the pain to stop â¤ï¸,1
Sometimes I wonder if Nothing matters anymore though i'm trapped in my own mind ğŸ˜­,1
I can't believe Feeling energized and positive!,0
Not sure why I can't focus on anything #blessed,1
I'm so happy about Taking time for self-care feels amazing I feel like the future looks bright ğŸ˜Š,0
I'm grateful that Everyone would be better off without me ğŸ˜,1
Is it normal to feel like Felt so loved and appreciated ğŸ˜­,0
It's sad that I can't stop crying ğŸ˜”,1
Why is it that I'm trapped in my own mind ğŸ˜”,1
Does anyone else feel like Taking time for self-care feels amazing...,0
Not sure why I'm exhausted all the time ğŸ˜Š,1
I'm grateful that I'm feeling happy ğŸ˜Š,0
Never forget that I've lost interest in things I used to enjoy,1
I love when Taking time for self-care feels amazing #gratitude,0
"I love when Surrounded by good people lately, i'm feeling happy ğŸ˜¢",0
Just thinking that Feeling energized and positive though beautiful sunshine today #mentalhealth,0
Why is it that Nothing brings me joy anymore âœ¨,1
Never forget that I feel numb inside ğŸ˜,1
Just thinking that Learning something new every day ğŸ˜¢,0
I love when I don't see the point in trying #happy,1
Proud of what I've accomplished but everything is going well #happy,0
I can't believe My heart is full of joy #happy,0
Is it normal to feel like Counting my blessings celebrated with friends,0
I'm grateful that Thankful for all the good in my life often so grateful for my friends #anxiety,0
Is it normal to feel like Enjoying the little things in life often feeling motivated and inspired ğŸ˜,0
I'm so tired of Learning something new every day,0
Does anyone else feel like Nothing matters anymore #life,1
Just thinking that Today was productive and fulfilling though taking time for self-care feels amazing!,0
Why is it that Had a great day today #gratitude,0
Enjoying the little things in life #life,0
Today I realized Felt so loved and appreciated right now had a great day today...,0
I'm so tired of Making progress every day #mentalhealth,0
I'm so tired of Feeling energized and positive,0
"Can't stop thinking about how Beautiful sunshine today lately, felt so loved and appreciated #depression",0
I'm so happy about I'm a failure at everything because i can't stop crying ğŸ˜Š,1
I can't believe Just finished an amazing workout,0
Everything is going well â¤ï¸,0
I'm a failure at everything I feel like will this sadness ever end? #blessed,1
Does anyone else feel like Got a promotion at work,0
I love when I don't see the point in trying i'm so tired but i can't sleep ğŸ˜Š,1
I love when Everything is going well,0
Taking time for self-care feels amazing #depression,0
Sometimes I wonder if No one understands how I feel ğŸ˜¢,1
"Does anyone else feel like Feeling at peace with myself honestly, surrounded by good people",0
I love when Learning something new every day ğŸ˜Š,0
"Found a new hobby that I love lately, got a promotion at work #mentalhealth",0
I wish I can't see a future for myself so i'm a failure at everything ğŸ˜,1
Is it normal to feel like Surrounded by good people but feeling motivated and inspired,0
I can't believe I can't remember the last time I was happy everyone would be better off without me #anxiety,1
I'm so tired of Felt so loved and appreciated and my heart is full of joy ğŸ˜”,0
I'm feeling happy #anxiety,0
I'm so happy about Thankful for all the good in my life ğŸ˜¢,0
Just thinking that Another sleepless night #anxiety,1
Today I realized Excited about new opportunities ğŸ˜,0
Never forget that Just had the best time with family #anxiety,0
It's sad that I can't see a future for myself!,1
I'm so happy about I feel so alone even in a crowd #happy,1
Can't stop thinking about how I'm so tired but I can't sleep sometimes it's all my fault #mentalhealth,1
I love when I feel numb inside,1
I'm so tired of I'm tired of pretending to be okay I think i'm a failure at everything âœ¨,1
I wish It's all my fault...,1
I can't believe Celebrated with friends!,0
Is it normal to feel like Had a great day today,0
I love when Will this sadness ever end? #mentalhealth,1
"I can't believe Taking time for self-care feels amazing lately, feeling motivated and inspired ğŸ˜”",0
It's funny how I can't focus on anything #anxiety,1
I've lost interest in things I used to enjoy sometimes i feel so alone even in a crowd!,1
Why is it that I can't remember the last time I was happy,1
I'm grateful that Went for a walk and it lifted my spirits â¤ï¸,0
Does anyone else feel like Making positive changes yet thankful for all the good in my life #life,0
Today I realized I'm so tired but I can't sleep ğŸ˜¢,1
Not sure why My heart is full of joy ğŸ˜¢,0
Is it normal to feel like Just finished an amazing workout âœ¨,0
Why is it that I feel so worthless ğŸ˜”,1
Never forget that I feel so worthless,1
Just realized I hate myself so much #blessed,1
I hate when Surrounded by good people ğŸ˜­,0
Always remember that It's all my fault â¤ï¸,1
Why is it that Everything is going well right now just had the best time with family ğŸ˜­,0
Sometimes I wonder if Taking time for self-care feels amazing ğŸ˜,0
I'm so happy about All the hard work is paying off yet feeling motivated and inspired ğŸ˜¢,0
I'm grateful that Another sleepless night ğŸ’”,1
Just thinking that I can't see a future for myself yet another sleepless night,1
It's funny how Found a new hobby that I love #happy,0
Not sure why Found a new hobby that I love just had the best time with family...,0
Today I realized Just had the best time with family #gratitude,0
I'm so tired of So grateful for my friends #blessed,0
Can't stop thinking about how Just finished an amazing workout though enjoying the little things in life #gratitude,0
Today I realized Taking time for self-care feels amazing yet just finished an amazing workout #mentalhealth,0
Always remember that Feeling confident and strong so i'm feeling happy.,0
Not sure why I can't remember the last time I was happy #blessed,1
Does anyone else feel like Feeling at peace with myself learning something new every day ğŸ˜­,0
It's funny how Everything is overwhelming I feel like i hate myself so much ğŸ˜,1
It's sad that Went for a walk and it lifted my spirits ğŸ˜,0
Went for a walk and it lifted my spirits #happy,0
Today I realized I'm feeling happy yet just finished an amazing workout #blessed,0
Sometimes I wonder if Why am I never good enough? #mentalhealth,1
Not sure why Thankful for all the good in my life âœ¨,0
"I love when I can't focus on anything honestly, i'm sorry for being such a disappointment...",1
Does anyone else feel like Nothing brings me joy anymore #mentalhealth,1
Never forget that Will this sadness ever end? often i can't focus on anything ğŸ˜”,1
Why is it that I feel so alone even in a crowd #anxiety,1
Never forget that Making progress every day ğŸ’”,0
"Just thinking that Had a great day today lately, went for a walk and it lifted my spirits!",0
"Today I realized I'm a failure at everything honestly, i can't see a future for myself.",1
I just want the pain to stop #depression,1
It's funny how Feeling confident and strong #blessed,0
Sometimes I wonder if No one understands how I feel #anxiety,1
I can't believe It's all my fault,1
Today I realized Nothing brings me joy anymore #blessed,1
I love when Making progress every day âœ¨,0
Just realized I'm a failure at everything yet i'm a burden to everyone...,1
